* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         328287.2928         4408293.6242           
         328313.3262         4408350.0299           
         328354.5458         4408417.2829           
         328451.1073         4408575.3409           
         328606.2022         4408786.0898           
         328710.3359         4408940.5548           
         328775.4195         4409064.2136           
         328816.6391         4409185.7029           
         328866.5365         4409302.8533           
         328918.6033         4409441.6982           
         328989.4244         4409681.1549           
> flt.30
         327535.7008         4406622.6720           
         327569.8549         4406709.0563           
         327598.0578         4406832.7151           
         327615.4197         4406975.3922           
         327619.7523         4407049.6603           
         327637.1079         4407140.7773           
         327676.1581         4407223.2165           
         327745.5806         4407342.5363           
         327808.4947         4407424.9755           
         327897.4422         4407585.5150           
         327982.0508         4407748.2239           
         328060.1511         4407871.8827           
         328125.0371         4407976.8711           
> flt.31
         325992.6632         4404763.0577           
         326146.6943         4404973.4946           
         326309.4032         4405183.9314           
         326543.7041         4405481.1464           
         326708.5824         4405702.4305           
         326738.9547         4405758.8363           
         326791.0216         4405880.3256           
         326862.6135         4406023.5094           
         326901.6637         4406152.8088           
         326929.8665         4406256.9425           
         326958.0694         4406365.4151           
         326963.8546         4406524.5082           
         326960.9620         4406706.7422           
         326972.5324         4406807.9833           
         326997.1196         4406873.0669           
         327031.8308         4406914.2865           
         327103.4227         4406981.5395           
         327196.7092         4407087.8427           
         327283.4872         4407182.4308           
         327396.2988         4407280.0561           
         327457.0434         4407347.3091           
         327522.1270         4407421.0705           
         327567.6855         4407497.0013           
         327589.3800         4407549.0682           
         327602.7269         4407649.3856           
         327628.4301         4407887.9366           
         327654.4636         4408015.9343           
         327682.6664         4408120.0680           
         327710.2584         4408226.9894           
> flt.32
         327040.4847         4406922.4159           
         327075.2198         4407044.0197           
         327138.1339         4407217.5759           
         327229.2509         4407386.7932           
         327296.5040         4407482.2491           
         327346.4014         4407558.1799           
         327489.5852         4407742.5833           
         327565.5160         4407820.6836           
         327633.1772         4407911.2763           
> flt.33
         327459.4116         4407934.2955           
         327322.5374         4407788.1418           
         327231.4204         4407703.5332           
         327172.8452         4407640.6191           
         327133.7950         4407579.8744           
         327090.4060         4407460.5545           
         327064.3726         4407365.0986           
         327042.6781         4407187.2036           
         327031.8308         4407011.4779           
         327027.6862         4406907.6435           
> flt.34
         327316.0290         4406833.5829           
         327381.1126         4406959.4111           
         327441.8572         4407104.7644           
         327478.7379         4407213.2370           
         327504.7714         4407291.3373           
         327546.5699         4407367.6570           
         327639.3810         4407491.6791           
         327713.0388         4407612.4162           
         327819.3419         4407790.3113           
         327893.1033         4407929.1562           
         328023.2704         4408126.5763           
         328079.6762         4408248.0657           
         328144.7597         4408373.8939           
         328225.0295         4408497.5527           
         328320.4854         4408629.0215           
         328476.6859         4408783.0526           
         328591.6669         4408930.5753           
         328743.5285         4409093.2842           
         328824.7574         4409204.7632           
> flt.35
         327886.8170         4407917.3232           
         327943.0007         4408075.8112           
         328001.5759         4408214.6561           
         328029.7788         4408316.6204           
         328055.8122         4408399.0595           
         328092.6929         4408472.8209           
         328162.1154         4408570.4463           
         328270.5880         4408678.9189           
         328452.8220         4408830.7805           
         328561.2946         4408928.4059           
         328651.3294         4408994.4994           
> flt.36
         325662.1833         4407181.1291           
         325829.9543         4407377.8261           
         325948.5510         4407551.3823           
         326107.6442         4407797.2535           
         326258.0595         4408037.3396           
         326463.4343         4408387.3445           
         326532.8568         4408474.7011           
         326610.9571         4408573.0496           
