Time_s,X,Y,Z,Pressure_Pa
0.5,0.22500001,0.05,0.27499998,320.229024478308
0.5,0.275,0.05,0.27499998,267.37538035045327
0.5,0.325,0.05,0.27499998,195.31608955521733
0.5,0.375,0.05,0.27499998,99.28305285736315
0.5,0.425,0.05,0.27499998,-26.188954491183722
0.5,0.47500002,0.05,0.27499998,-187.07409926232503
0.5,0.525,0.05,0.27499998,-389.56091697269676
0.5,0.57500005,0.05,0.27499998,-639.6454983022868
0.5,0.625,0.05,0.27499998,-942.6241484992684
0.5,0.67499995,0.05,0.27499998,-1302.5192562152179
0.5,0.725,0.05,0.27499998,-1721.4952523365382
0.5,0.77500004,0.05,0.27499998,-2199.340604383495
0.5,0.825,0.05,0.27499998,-2733.100339052905
0.5,0.875,0.05,0.27499998,-3316.9350315315132
0.5,0.92499995,0.05,0.27499998,-3942.2507902578295
0.5,0.97499996,0.05,0.27499998,-4598.085040934828
0.5,0.025,0.05,0.325,406.62887100865737
0.5,0.075,0.05,0.325,399.1286217194929
0.5,0.125,0.05,0.325,383.37575379618465
0.5,0.17500001,0.05,0.325,357.8486819723403
0.5,0.22500001,0.05,0.325,320.229024478308
0.5,0.275,0.05,0.325,267.37538035045327
0.5,0.325,0.05,0.325,195.31608955521733
0.5,0.375,0.05,0.325,99.28305285736315
0.5,0.425,0.05,0.325,-26.188954491183722
0.5,0.47500002,0.05,0.325,-187.07409926232503
0.5,0.525,0.05,0.325,-389.56091697269676
0.5,0.57500005,0.05,0.325,-639.6454983022868
0.5,0.625,0.05,0.325,-942.6241484992684
0.5,0.67499995,0.05,0.325,-1302.5192562152179
0.5,0.725,0.05,0.325,-1721.4952523365382
0.5,0.77500004,0.05,0.325,-2199.340604383495
0.5,0.825,0.05,0.325,-2733.100339052905
0.5,0.875,0.05,0.325,-3316.9350315315132
0.5,0.92499995,0.05,0.325,-3942.2507902578295
0.5,0.97499996,0.05,0.325,-4598.085040934828
0.5,0.025,0.05,0.37500003,406.62887100865737
0.5,0.075,0.05,0.37500003,399.1286217194929
0.5,0.125,0.05,0.37500003,383.37575379618465
0.5,0.17500001,0.05,0.37500003,357.8486819723403
0.5,0.22500001,0.05,0.37500003,320.229024478308
0.5,0.275,0.05,0.37500003,267.37538035045327
0.5,0.325,0.05,0.37500003,195.31608955521642
0.5,0.375,0.05,0.37500003,99.28305285736405
0.5,0.425,0.05,0.37500003,-26.18895449118463
0.5,0.47500002,0.05,0.37500003,-187.07409926232503
0.5,0.525,0.05,0.37500003,-389.56091697269676
0.5,0.57500005,0.05,0.37500003,-639.6454983022868
0.5,0.625,0.05,0.37500003,-942.6241484992684
0.5,0.67499995,0.05,0.37500003,-1302.5192562152179
0.5,0.725,0.05,0.37500003,-1721.4952523365382
0.5,0.77500004,0.05,0.37500003,-2199.340604383495
0.5,0.825,0.05,0.37500003,-2733.100339052905
0.5,0.875,0.05,0.37500003,-3316.9350315315132
0.5,0.92499995,0.05,0.37500003,-3942.2507902578295
0.5,0.97499996,0.05,0.37500003,-4598.085040934828
0.5,0.025,0.05,0.425,406.62887100865646
0.5,0.075,0.05,0.425,399.1286217194929
0.5,0.125,0.05,0.425,383.37575379618465
0.5,0.17500001,0.05,0.425,357.84868197233936
0.5,0.22500001,0.05,0.425,320.229024478308
0.5,0.275,0.05,0.425,267.37538035045327
0.5,0.325,0.05,0.425,195.31608955521642
0.5,0.375,0.05,0.425,99.28305285736315
0.5,0.425,0.05,0.425,-26.188954491183722
0.5,0.47500002,0.05,0.425,-187.07409926232503
0.5,0.525,0.05,0.425,-389.56091697269676
0.5,0.57500005,0.05,0.425,-639.6454983022868
0.5,0.625,0.05,0.425,-942.6241484992684
0.5,0.67499995,0.05,0.425,-1302.5192562152179
0.5,0.725,0.05,0.425,-1721.4952523365382
0.5,0.77500004,0.05,0.425,-2199.3406043834943
0.5,0.825,0.05,0.425,-2733.100339052905
0.5,0.875,0.05,0.425,-3316.9350315315132
0.5,0.92499995,0.05,0.425,-3942.2507902578295
0.5,0.97499996,0.05,0.425,-4598.085040934828
0.5,0.025,0.05,0.475,406.62887100865737
0.5,0.075,0.05,0.475,399.1286217194929
0.5,0.125,0.05,0.475,383.37575379618465
0.5,0.17500001,0.05,0.475,357.84868197233936
0.5,0.22500001,0.05,0.475,320.229024478308
0.5,0.275,0.05,0.475,267.37538035045327
0.5,0.325,0.05,0.475,195.31608955521642
0.5,0.375,0.05,0.475,99.28305285736315
0.5,0.425,0.05,0.475,-26.18895449118463
0.5,0.47500002,0.05,0.475,-187.07409926232503
0.5,0.525,0.05,0.475,-389.56091697269676
0.5,0.57500005,0.05,0.475,-639.6454983022868
0.5,0.625,0.05,0.475,-942.6241484992684
0.5,0.67499995,0.05,0.475,-1302.5192562152183
0.5,0.725,0.05,0.475,-1721.4952523365382
0.5,0.77500004,0.05,0.475,-2199.340604383495
0.5,0.825,0.05,0.475,-2733.100339052905
0.5,0.875,0.05,0.475,-3316.9350315315132
0.5,0.92499995,0.05,0.475,-3942.2507902578295
0.5,0.97499996,0.05,0.475,-4598.085040934828
0.5,0.025,0.05,0.525,406.62887100865646
0.5,0.075,0.05,0.525,399.1286217194929
